"nameImage","timestamp","progress","initStats","entropyStats","finalStats"
"SampleGIFImage_350kbmb.jpg","1685549290609-426100","[{""class"":{""type"":""Wavelet"",""waveletType"":""Haar"",""waveletLevel"":2},""max"":259,""min"":-198,""entropy"":4.869724045912037,""varianze"":1167.1493737383769,""mean"":6.025373246934678},{""class"":{""type"":""Quantizer"",""q_step"":5},""max"":51,""min"":-39,""entropy"":2.959484114101773,""varianze"":44.24564129268595,""mean"":1.1863458421495225},{""class"":{""type"":""EntropyEncoder"",""encoderType"":""Lzma""},""max"":51,""min"":-39,""entropy"":2.959484114101773,""varianze"":44.24564129268595,""mean"":1.1863458421495225}]","{""max"":255,""min"":0,""entropy"":6.013217774294696,""varianze"":4628.615046195683,""mean"":98.75785234239366}","{""compressionRatio"":""3.249"",""bitsPerSample"":""6.191"",""bitsPerSampleOriginal"":""19.999"",""finalBitsPerSample"":""19.856""}","{""psnr"":37.10082995154257,""pae"":14,""mse"":12.676617092556425}"
"SampleGIFImage_350kbmb.jpg","1685549451490-104782","[{""class"":{""type"":""Wavelet"",""waveletType"":""Haar"",""waveletLevel"":2},""max"":259,""min"":-198,""entropy"":4.869724045912037,""varianze"":1167.1493737383769,""mean"":6.025373246934678},{""class"":{""type"":""Quantizer"",""q_step"":5},""max"":51,""min"":-39,""entropy"":2.959484114101773,""varianze"":44.24564129268595,""mean"":1.1863458421495225},{""class"":{""type"":""EntropyEncoder"",""encoderType"":""Lzma""},""max"":51,""min"":-39,""entropy"":2.959484114101773,""varianze"":44.24564129268595,""mean"":1.1863458421495225}]","{""max"":255,""min"":0,""entropy"":6.013217774294696,""varianze"":4628.615046195683,""mean"":98.75785234239366}","{""compressionRatio"":""3.249"",""bitsPerSample"":""6.191"",""bitsPerSampleOriginal"":""19.999"",""finalBitsPerSample"":19.856}","{""psnr"":37.10082995154257,""pae"":14,""mse"":12.676617092556425}"
"SampleGIFImage_350kbmb.jpg","1685549699297-349483","[{""class"":{""type"":""Wavelet"",""waveletType"":""Haar"",""waveletLevel"":2},""max"":259,""min"":-198,""entropy"":4.869724045912037,""varianze"":1167.1493737383769,""mean"":6.025373246934678},{""class"":{""type"":""Quantizer"",""q_step"":5},""max"":51,""min"":-39,""entropy"":2.959484114101773,""varianze"":44.24564129268595,""mean"":1.1863458421495225},{""class"":{""type"":""EntropyEncoder"",""encoderType"":""Lzma""},""max"":51,""min"":-39,""entropy"":2.959484114101773,""varianze"":44.24564129268595,""mean"":1.1863458421495225}]","{""max"":255,""min"":0,""entropy"":6.013217774294696,""varianze"":4628.615046195683,""mean"":98.75785234239366}","{""compressionRatio"":3.249,""bitsPerSample"":6.191,""bitsPerSampleOriginal"":19.999,""finalBitsPerSample"":19.856}","{""psnr"":37.10082995154257,""pae"":14,""mse"":12.676617092556425}"
